,prompt,completion,project code,project_status,project name,Approval date,Code Questions
0,P-Z1-DB0-202 represents MULTINATIONAL NACALA ROAD CORRIDOR DEVELOPMENT PROJECT PHASE V - MALAWI happening in Multinational which has status as Identification ->,"Project was approved on 19-Jun-2019. 
",P-Z1-DB0-202,Identification,MULTINATIONAL NACALA ROAD CORRIDOR DEVELOPMENT PROJECT PHASE V - MALAWI happening in Multinational,19-Jun-2019.,Details regarding project P-Z1-DB0-202
1,P-LS-E00-007 represents CLIMATE CHANGE ADAPTATION FOR SUSTAINABLE RURAL WATER SUPPLY IN LOWLANDS LESOTHO happening in Lesotho which has status as Lending ->,"Project was approved on 30-May-2019. 
",P-LS-E00-007,Lending,CLIMATE CHANGE ADAPTATION FOR SUSTAINABLE RURAL WATER SUPPLY IN LOWLANDS LESOTHO happening in Lesotho,30-May-2019.,Details regarding project P-LS-E00-007
2,P-GA-E00-001 represents PROGRAMME INTÉGRÉ D'ALIMENTATION EN EAU POTABLE ET ASSAINISSEMENT DE LIBREVILLE SOUS-PROGRAMME 1 happening in Gabon which has status as Approved ->,"Project was approved on 10-Jan-2019. 
",P-GA-E00-001,Approved,PROGRAMME INTÉGRÉ D'ALIMENTATION EN EAU POTABLE ET ASSAINISSEMENT DE LIBREVILLE SOUS-PROGRAMME 1 happening in Gabon,10-Jan-2019.,Details regarding project P-GA-E00-001
3,P-UG-EB0-007 represents PREPARATION OF FEASIBILITY STUDIES AND DETAILED DESIGNS FOR FAECAL SLUDGE SERVICE CHAIN MANAGEMENT happening in Uganda which has status as Approved ->,"Project was approved on 18-Dec-2018. 
",P-UG-EB0-007,Approved,PREPARATION OF FEASIBILITY STUDIES AND DETAILED DESIGNS FOR FAECAL SLUDGE SERVICE CHAIN MANAGEMENT happening in Uganda,18-Dec-2018.,Details regarding project P-UG-EB0-007
4,P-DZ-KF0-003 represents APPUI GOUVERNANCE ENTREPRISES PUBLIQUES ET DES PARTICIPATIONS DE L'ETAT happening in Algeria which has status as Approved ->,"Project was approved on 18-Dec-2018. 
",P-DZ-KF0-003,Approved,APPUI GOUVERNANCE ENTREPRISES PUBLIQUES ET DES PARTICIPATIONS DE L'ETAT happening in Algeria,18-Dec-2018.,Details regarding project P-DZ-KF0-003
5,P-CM-F00-006 represents NACHTIGAL HYDRO POWER PROJECT happening in Cameroon which has status as Completed ->,"Project was approved on 14-Dec-2018. 
",P-CM-F00-006,Completed,NACHTIGAL HYDRO POWER PROJECT happening in Cameroon,14-Dec-2018.,Details regarding project P-CM-F00-006
6,P-UG-FAB-007 represents ACHWA II HYDROPOWER PLANT happening in Uganda which has status as Ongoing ->,"Project was approved on 14-Dec-2018. 
",P-UG-FAB-007,Ongoing,ACHWA II HYDROPOWER PLANT happening in Uganda,14-Dec-2018.,Details regarding project P-UG-FAB-007
7,P-Z1-KE0-023 represents EMERGING AFRICA INFRASTRUCTURE FUND PROJECT (EAIF3) happening in Multinational which has status as Approved ->,"Project was approved on 14-Dec-2018. 
",P-Z1-KE0-023,Approved,EMERGING AFRICA INFRASTRUCTURE FUND PROJECT (EAIF3) happening in Multinational,14-Dec-2018.,Details regarding project P-Z1-KE0-023
8,P-Z1-C00-070 represents TCHAD-ABN PROGRAMME INTEGRE DE DEVELOPPEMENT ET D'ADAPTATION AUX CC DANS LE BASSIN DU NIGER happening in Multinational which has status as Approved ->,"Project was approved on 14-Dec-2018. 
",P-Z1-C00-070,Approved,TCHAD-ABN PROGRAMME INTEGRE DE DEVELOPPEMENT ET D'ADAPTATION AUX CC DANS LE BASSIN DU NIGER happening in Multinational,14-Dec-2018.,Details regarding project P-Z1-C00-070
9,"P-Z1-DZ0-019 represents OUBANGUI RIVER BRIDGE& BANGUI-KISANGANI-BUJUMBURA& KISANGANI-KAMPALA ROADS,PHASEI CTRAL&EAST AFRICA happening in Multinational which has status as Approved ->","Project was approved on 14-Dec-2018. 
",P-Z1-DZ0-019,Approved,"OUBANGUI RIVER BRIDGE& BANGUI-KISANGANI-BUJUMBURA& KISANGANI-KAMPALA ROADS,PHASEI CTRAL&EAST AFRICA happening in Multinational",14-Dec-2018.,Details regarding project P-Z1-DZ0-019
10,P-ML-HA0-008 represents BANQUE DE DEVELOPPEMENT DU MALI BDM happening in Mali which has status as Approved ->,"Project was approved on 14-Dec-2018. 
",P-ML-HA0-008,Approved,BANQUE DE DEVELOPPEMENT DU MALI BDM happening in Mali,14-Dec-2018.,Details regarding project P-ML-HA0-008
11,P-TD-AA0-024 represents PROJET RENFORCEMENT DE LA RÉSILIENCE POUR LA SÉCURITÉ ALIMENTAIRE P2RS - GEF happening in Chad which has status as Approved ->,"Project was approved on 14-Dec-2018. 
",P-TD-AA0-024,Approved,PROJET RENFORCEMENT DE LA RÉSILIENCE POUR LA SÉCURITÉ ALIMENTAIRE P2RS - GEF happening in Chad,14-Dec-2018.,Details regarding project P-TD-AA0-024
12,P-BF-FA0-010 represents PROGRAMME DESERT TO POWER - PROJET YELEEN D'ELECTRIFICATION RURALE happening in Burkina Faso which has status as Approved ->,"Project was approved on 14-Dec-2018. 
",P-BF-FA0-010,Approved,PROGRAMME DESERT TO POWER - PROJET YELEEN D'ELECTRIFICATION RURALE happening in Burkina Faso,14-Dec-2018.,Details regarding project P-BF-FA0-010
13,P-GA-DD0-002 represents GSEZ PORT PROJECT happening in Gabon which has status as Approved ->,"Project was approved on 14-Dec-2018. 
",P-GA-DD0-002,Approved,GSEZ PORT PROJECT happening in Gabon,14-Dec-2018.,Details regarding project P-GA-DD0-002
14,P-NG-AZ0-001 represents SAY NO TO FAMINE FOR NIGERIA happening in Nigeria which has status as Approved ->,"Project was approved on 14-Dec-2018. 
",P-NG-AZ0-001,Approved,SAY NO TO FAMINE FOR NIGERIA happening in Nigeria,14-Dec-2018.,Details regarding project P-NG-AZ0-001
15,P-NG-IA0-006 represents ADDITIONAL LOAN TO IBSDLIEP FOR THE COMPLETION OF FSTC LASSA BORNO STATE happening in Nigeria which has status as Approved ->,"Project was approved on 14-Dec-2018. 
",P-NG-IA0-006,Approved,ADDITIONAL LOAN TO IBSDLIEP FOR THE COMPLETION OF FSTC LASSA BORNO STATE happening in Nigeria,14-Dec-2018.,Details regarding project P-NG-IA0-006
16,P-NG-KA0-004 represents NIGERIA - AFRICAN TRADE INSURANCE (ATI) COUNTRY MEMBERSHIP PROGRAMME happening in Nigeria which has status as Approved ->,"Project was approved on 14-Dec-2018. 
",P-NG-KA0-004,Approved,NIGERIA - AFRICAN TRADE INSURANCE (ATI) COUNTRY MEMBERSHIP PROGRAMME happening in Nigeria,14-Dec-2018.,Details regarding project P-NG-KA0-004
17,P-RW-E00-012 represents RWANDA SUSTAINABLE WATER SUPPLY AND SANITATION PROGRAM ADDITIONAL FINANCING happening in Rwanda which has status as Approved ->,"Project was approved on 14-Dec-2018. 
",P-RW-E00-012,Approved,RWANDA SUSTAINABLE WATER SUPPLY AND SANITATION PROGRAM ADDITIONAL FINANCING happening in Rwanda,14-Dec-2018.,Details regarding project P-RW-E00-012
18,P-Z1-DD0-020 represents FEASIBILITY STUDY OF THE DEEP SEA PORT IN GUINEA-BISSAU happening in Multinational which has status as Approved ->,"Project was approved on 14-Dec-2018. 
",P-Z1-DD0-020,Approved,FEASIBILITY STUDY OF THE DEEP SEA PORT IN GUINEA-BISSAU happening in Multinational,14-Dec-2018.,Details regarding project P-Z1-DD0-020
19,P-Z1-DD0-021 represents FEASIBILITY STUDY OF A DEEP SEA PORT IN THE NORTH-WEST REGION OF THE REPUBLIC OF GUINEA happening in Multinational which has status as Approved ->,"Project was approved on 14-Dec-2018. 
",P-Z1-DD0-021,Approved,FEASIBILITY STUDY OF A DEEP SEA PORT IN THE NORTH-WEST REGION OF THE REPUBLIC OF GUINEA happening in Multinational,14-Dec-2018.,Details regarding project P-Z1-DD0-021
20,P-Z1-DD0-022 represents STUDIES AND PPP STRUCTURING FOR THE CONSTRUCTION OF SÃO TOMÉ DEEP SEA TRANSSHIPMENT PORT happening in Multinational which has status as Approved ->,"Project was approved on 14-Dec-2018. 
",P-Z1-DD0-022,Approved,STUDIES AND PPP STRUCTURING FOR THE CONSTRUCTION OF SÃO TOMÉ DEEP SEA TRANSSHIPMENT PORT happening in Multinational,14-Dec-2018.,Details regarding project P-Z1-DD0-022
21,P-Z1-F00-077 represents NELSAP BURUNDI – RWANDA INTERCONNECTION happening in Multinational which has status as Approved ->,"Project was approved on 14-Dec-2018. 
",P-Z1-F00-077,Approved,NELSAP BURUNDI – RWANDA INTERCONNECTION happening in Multinational,14-Dec-2018.,Details regarding project P-Z1-F00-077
22,P-Z1-FA0-162 represents SUPPLEMENTARY FINANCING : ETHIOPIA - KENYA ELECTRICITY HIGHWAY (KENYA) happening in Multinational which has status as Approved ->,"Project was approved on 14-Dec-2018. 
",P-Z1-FA0-162,Approved,SUPPLEMENTARY FINANCING : ETHIOPIA - KENYA ELECTRICITY HIGHWAY (KENYA) happening in Multinational,14-Dec-2018.,Details regarding project P-Z1-FA0-162
23,P-LR-HAB-001 represents TRADE FINANCE LINE OF CREDIT LIBERIAN BANK FOR DEVELOPMENT AND INVESTMENT happening in Liberia which has status as Approved ->,"Project was approved on 14-Dec-2018. 
",P-LR-HAB-001,Approved,TRADE FINANCE LINE OF CREDIT LIBERIAN BANK FOR DEVELOPMENT AND INVESTMENT happening in Liberia,14-Dec-2018.,Details regarding project P-LR-HAB-001
24,P-LR-HAB-002 represents TRADE FINANCE LINE OF CREDIT INTERNATIONAL BANK LIBERIA LIMITED happening in Liberia which has status as Approved ->,"Project was approved on 14-Dec-2018. 
",P-LR-HAB-002,Approved,TRADE FINANCE LINE OF CREDIT INTERNATIONAL BANK LIBERIA LIMITED happening in Liberia,14-Dec-2018.,Details regarding project P-LR-HAB-002
25,P-SD-AAZ-009 represents DAL GROUP CO LTD(FOOD AND AGRICULTURAL INVESTMENT PROGRAMME) happening in Sudan which has status as Approved ->,"Project was approved on 14-Dec-2018. 
",P-SD-AAZ-009,Approved,DAL GROUP CO LTD(FOOD AND AGRICULTURAL INVESTMENT PROGRAMME) happening in Sudan,14-Dec-2018.,Details regarding project P-SD-AAZ-009
26,P-BJ-DB0-017 represents PROGRAMME D'AMENAGEMENT ROUTE COTONIERES happening in Benin which has status as Approved ->,"Project was approved on 13-Dec-2018. 
",P-BJ-DB0-017,Approved,PROGRAMME D'AMENAGEMENT ROUTE COTONIERES happening in Benin,13-Dec-2018.,Details regarding project P-BJ-DB0-017
27,P-MA-I00-006 represents PROGRAMME D’APPUI À L’AMÉLIORATION DES RÉSULTATS DES SECTEURS SOCIAUX AU MAROC happening in Morocco which has status as Approved ->,"Project was approved on 13-Dec-2018. 
",P-MA-I00-006,Approved,PROGRAMME D’APPUI À L’AMÉLIORATION DES RÉSULTATS DES SECTEURS SOCIAUX AU MAROC happening in Morocco,13-Dec-2018.,Details regarding project P-MA-I00-006
28,P-MA-K00-016 represents PROJET D’APPUI AU RENFORCEMENT DES CAPACITES DE LA COMMISSION NATIONALE DE LA COMMANDE PUBLIQUE happening in Morocco which has status as Approved ->,"Project was approved on 12-Dec-2018. 
",P-MA-K00-016,Approved,PROJET D’APPUI AU RENFORCEMENT DES CAPACITES DE LA COMMISSION NATIONALE DE LA COMMANDE PUBLIQUE happening in Morocco,12-Dec-2018.,Details regarding project P-MA-K00-016
29,P-Z1-HAA-091 represents DON À LA BANQUE MAGHRÉBINE D’INVESTISSEMENT ET DE COMMERCE EXTÉRIEUR (BMICE) happening in Multinational which has status as Approved ->,"Project was approved on 12-Dec-2018. 
",P-Z1-HAA-091,Approved,DON À LA BANQUE MAGHRÉBINE D’INVESTISSEMENT ET DE COMMERCE EXTÉRIEUR (BMICE) happening in Multinational,12-Dec-2018.,Details regarding project P-Z1-HAA-091
30,P-MR-AAC-011 represents PROJET D'APPUI À LA TRANSFORMATION AGRICOLE EN MAURITANIE (PATAM) happening in Mauritania which has status as Approved ->,"Project was approved on 12-Dec-2018. 
",P-MR-AAC-011,Approved,PROJET D'APPUI À LA TRANSFORMATION AGRICOLE EN MAURITANIE (PATAM) happening in Mauritania,12-Dec-2018.,Details regarding project P-MR-AAC-011
31,P-CI-KF0-003 represents PROJET D’APPUI À LA GOUVERNANCE DE LA FILIÈRE CACAO (PAGFIC) happening in Côte D'Ivoire which has status as Approved ->,"Project was approved on 11-Dec-2018. 
",P-CI-KF0-003,Approved,PROJET D’APPUI À LA GOUVERNANCE DE LA FILIÈRE CACAO (PAGFIC) happening in Côte D'Ivoire,11-Dec-2018.,Details regarding project P-CI-KF0-003
32,P-GH-KF0-003 represents GHANA COCOA SECTOR INSTITUTIONAL SUPPORT PROJECT happening in Ghana which has status as Approved ->,"Project was approved on 11-Dec-2018. 
",P-GH-KF0-003,Approved,GHANA COCOA SECTOR INSTITUTIONAL SUPPORT PROJECT happening in Ghana,11-Dec-2018.,Details regarding project P-GH-KF0-003
33,P-ML-DB0-015 represents PROGRAMME D’AMEN. ROUTIER DE LA BRANCHE MALIENNE DE LA TRANSSAHARIENNE happening in Mali which has status as Approved ->,"Project was approved on 11-Dec-2018. 
",P-ML-DB0-015,Approved,PROGRAMME D’AMEN. ROUTIER DE LA BRANCHE MALIENNE DE LA TRANSSAHARIENNE happening in Mali,11-Dec-2018.,Details regarding project P-ML-DB0-015
34,P-KE-EB0-010 represents NAIROBI RIVERS BASINS REHABILITATION RESTORATION: SEWERAGE IMPROVEMENT PROJECT-PHASE II happening in Kenya which has status as Approved ->,"Project was approved on 11-Dec-2018. 
",P-KE-EB0-010,Approved,NAIROBI RIVERS BASINS REHABILITATION RESTORATION: SEWERAGE IMPROVEMENT PROJECT-PHASE II happening in Kenya,11-Dec-2018.,Details regarding project P-KE-EB0-010
35,P-EG-I00-015 represents ENHANCEMENT OF ENTREPRENEURSHIP ECOSYSTEM happening in Egypt which has status as Approved ->,"Project was approved on 07-Dec-2018. 
",P-EG-I00-015,Approved,ENHANCEMENT OF ENTREPRENEURSHIP ECOSYSTEM happening in Egypt,07-Dec-2018.,Details regarding project P-EG-I00-015
36,P-GM-AA0-016 represents RICE VALUE CHAIN TRANSFORMATION PROGRAM (RVCTP) happening in Gambia which has status as Approved ->,"Project was approved on 06-Dec-2018. 
",P-GM-AA0-016,Approved,RICE VALUE CHAIN TRANSFORMATION PROGRAM (RVCTP) happening in Gambia,06-Dec-2018.,Details regarding project P-GM-AA0-016
37,P-CV-DD0-005 represents PROJET DE CONSTRUCTION DU PORT DE MAIO ET DE PALMEIRA happening in Cape Verde which has status as Approved ->,"Project was approved on 06-Dec-2018. 
",P-CV-DD0-005,Approved,PROJET DE CONSTRUCTION DU PORT DE MAIO ET DE PALMEIRA happening in Cape Verde,06-Dec-2018.,Details regarding project P-CV-DD0-005
38,P-ET-AAG-005 represents INTEGRATED AGRO INDUSTRIAL PARK DEVELOPMENT PROJECT happening in Ethiopia which has status as Approved ->,"Project was approved on 05-Dec-2018. 
",P-ET-AAG-005,Approved,INTEGRATED AGRO INDUSTRIAL PARK DEVELOPMENT PROJECT happening in Ethiopia,05-Dec-2018.,Details regarding project P-ET-AAG-005
39,P-SL-E00-004 represents FREETOWN WASH & AQUATIC ENVIRONMENT REVAMPING PROJECT happening in Sierra Leone which has status as Approved ->,"Project was approved on 05-Dec-2018. 
",P-SL-E00-004,Approved,FREETOWN WASH & AQUATIC ENVIRONMENT REVAMPING PROJECT happening in Sierra Leone,05-Dec-2018.,Details regarding project P-SL-E00-004
40,P-MW-AA0-024 represents SHIRE VALLEY TRANSFORMATION PROJECT happening in Malawi which has status as Approved ->,"Project was approved on 04-Dec-2018. 
",P-MW-AA0-024,Approved,SHIRE VALLEY TRANSFORMATION PROJECT happening in Malawi,04-Dec-2018.,Details regarding project P-MW-AA0-024
41,P-ZW-CB0-001 represents EMERGENCY ASSISTANCE TO SUPPORT EFFORTS TO CONTROL AND AVERT THE 2018 CHOLERA OUTBREAK happening in Zimbabwe which has status as Approved ->,"Project was approved on 04-Dec-2018. 
",P-ZW-CB0-001,Approved,EMERGENCY ASSISTANCE TO SUPPORT EFFORTS TO CONTROL AND AVERT THE 2018 CHOLERA OUTBREAK happening in Zimbabwe,04-Dec-2018.,Details regarding project P-ZW-CB0-001
42,P-ML-I00-006 represents PROJET D’AUTONOMISATION ECONOMIQUE DES FEMMES DANS LA FILIERE KARITE (PAEFFK) happening in Mali which has status as Approved ->,"Project was approved on 03-Dec-2018. 
",P-ML-I00-006,Approved,PROJET D’AUTONOMISATION ECONOMIQUE DES FEMMES DANS LA FILIERE KARITE (PAEFFK) happening in Mali,03-Dec-2018.,Details regarding project P-ML-I00-006
43,P-KE-AAD-005 represents GREEN ZONES DEVELOPMENT SUPPORT PROJECT-PHASE 2 happening in Kenya which has status as Approved ->,"Project was approved on 03-Dec-2018. 
",P-KE-AAD-005,Approved,GREEN ZONES DEVELOPMENT SUPPORT PROJECT-PHASE 2 happening in Kenya,03-Dec-2018.,Details regarding project P-KE-AAD-005
44,P-NG-KA0-005 represents INSTITUTIONAL SUPPORT PROJECT FOR ECONOMIC MANAGEMENT AND DELIVERY PROJECT happening in Nigeria which has status as Approved ->,"Project was approved on 03-Dec-2018. 
",P-NG-KA0-005,Approved,INSTITUTIONAL SUPPORT PROJECT FOR ECONOMIC MANAGEMENT AND DELIVERY PROJECT happening in Nigeria,03-Dec-2018.,Details regarding project P-NG-KA0-005
45,P-Z1-FA0-165 represents PROJET HYDROELECTRIQUE RUZIZI IV-ETATS DES GRANDS LACS-EGL happening in Multinational which has status as Approved ->,"Project was approved on 02-Dec-2018. 
",P-Z1-FA0-165,Approved,PROJET HYDROELECTRIQUE RUZIZI IV-ETATS DES GRANDS LACS-EGL happening in Multinational,02-Dec-2018.,Details regarding project P-Z1-FA0-165
46,P-ZA-FF0-001 represents REDSTONE CONCENTRATED SOLAR POWER happening in South Africa which has status as Approved ->,"Project was approved on 29-Nov-2018. 
",P-ZA-FF0-001,Approved,REDSTONE CONCENTRATED SOLAR POWER happening in South Africa,29-Nov-2018.,Details regarding project P-ZA-FF0-001
47,P-CM-K00-009 represents PROGRAMME D’APPUI À LA COMPÉTITIVITÉ ET LA CROISSANCE ÉCONOMIQUE PHASE II happening in Cameroon which has status as Approved ->,"Project was approved on 29-Nov-2018. 
",P-CM-K00-009,Approved,PROGRAMME D’APPUI À LA COMPÉTITIVITÉ ET LA CROISSANCE ÉCONOMIQUE PHASE II happening in Cameroon,29-Nov-2018.,Details regarding project P-CM-K00-009
48,P-NG-F00-020 represents NIGERIA ELECTRIFICATION PROJECT happening in Nigeria which has status as Approved ->,"Project was approved on 29-Nov-2018. 
",P-NG-F00-020,Approved,NIGERIA ELECTRIFICATION PROJECT happening in Nigeria,29-Nov-2018.,Details regarding project P-NG-F00-020
49,P-SZ-EA0-003 represents MANZINI REGION WATER SUPPLY AND SANITATION PROJECT happening in Swaziland which has status as Approved ->,"Project was approved on 29-Nov-2018. 
",P-SZ-EA0-003,Approved,MANZINI REGION WATER SUPPLY AND SANITATION PROJECT happening in Swaziland,29-Nov-2018.,Details regarding project P-SZ-EA0-003
