prompt,project code,project_status,project name,Approval date,Code Questions
P-Z1-DB0-202 represents MULTINATIONAL NACALA ROAD CORRIDOR DEVELOPMENT PROJECT PHASE V - MALAWI happening in Multinational which has status as Identification ->,P-Z1-DB0-202,Identification,Multinational nacala road corridor development project phase v - malawi happening in multinational,19-Jun-2019.,Details regarding project P-Z1-DB0-202
P-LS-E00-007 represents CLIMATE CHANGE ADAPTATION FOR SUSTAINABLE RURAL WATER SUPPLY IN LOWLANDS LESOTHO happening in Lesotho which has status as Lending ->,P-LS-E00-007,Lending,Climate change adaptation for sustainable rural water supply in lowlands lesotho happening in lesotho,30-May-2019.,Details regarding project P-LS-E00-007
P-GA-E00-001 represents PROGRAMME INTÉGRÉ D'ALIMENTATION EN EAU POTABLE ET ASSAINISSEMENT DE LIBREVILLE SOUS-PROGRAMME 1 happening in Gabon which has status as Approved ->,P-GA-E00-001,Approved,Programme intégré d'alimentation en eau potable et assainissement de libreville sous-programme 1 happening in gabon,10-Jan-2019.,Details regarding project P-GA-E00-001
P-UG-EB0-007 represents PREPARATION OF FEASIBILITY STUDIES AND DETAILED DESIGNS FOR FAECAL SLUDGE SERVICE CHAIN MANAGEMENT happening in Uganda which has status as Approved ->,P-UG-EB0-007,Approved,Preparation of feasibility studies and detailed designs for faecal sludge service chain management happening in uganda,18-Dec-2018.,Details regarding project P-UG-EB0-007
P-DZ-KF0-003 represents APPUI GOUVERNANCE ENTREPRISES PUBLIQUES ET DES PARTICIPATIONS DE L'ETAT happening in Algeria which has status as Approved ->,P-DZ-KF0-003,Approved,Appui gouvernance entreprises publiques et des participations de l'etat happening in algeria,18-Dec-2018.,Details regarding project P-DZ-KF0-003
P-CM-F00-006 represents NACHTIGAL HYDRO POWER PROJECT happening in Cameroon which has status as Completed ->,P-CM-F00-006,Completed,Nachtigal hydro power project happening in cameroon,14-Dec-2018.,Details regarding project P-CM-F00-006
P-UG-FAB-007 represents ACHWA II HYDROPOWER PLANT happening in Uganda which has status as Ongoing ->,P-UG-FAB-007,Ongoing,Achwa ii hydropower plant happening in uganda,14-Dec-2018.,Details regarding project P-UG-FAB-007
P-Z1-KE0-023 represents EMERGING AFRICA INFRASTRUCTURE FUND PROJECT (EAIF3) happening in Multinational which has status as Approved ->,P-Z1-KE0-023,Approved,Emerging africa infrastructure fund project (eaif3) happening in multinational,14-Dec-2018.,Details regarding project P-Z1-KE0-023
P-Z1-C00-070 represents TCHAD-ABN PROGRAMME INTEGRE DE DEVELOPPEMENT ET D'ADAPTATION AUX CC DANS LE BASSIN DU NIGER happening in Multinational which has status as Approved ->,P-Z1-C00-070,Approved,Tchad-abn programme integre de developpement et d'adaptation aux cc dans le bassin du niger happening in multinational,14-Dec-2018.,Details regarding project P-Z1-C00-070
"P-Z1-DZ0-019 represents OUBANGUI RIVER BRIDGE& BANGUI-KISANGANI-BUJUMBURA& KISANGANI-KAMPALA ROADS,PHASEI CTRAL&EAST AFRICA happening in Multinational which has status as Approved ->",P-Z1-DZ0-019,Approved,"Oubangui river bridge& bangui-kisangani-bujumbura& kisangani-kampala roads,phasei ctral&east africa happening in multinational",14-Dec-2018.,Details regarding project P-Z1-DZ0-019
P-ML-HA0-008 represents BANQUE DE DEVELOPPEMENT DU MALI BDM happening in Mali which has status as Approved ->,P-ML-HA0-008,Approved,Banque de developpement du mali bdm happening in mali,14-Dec-2018.,Details regarding project P-ML-HA0-008
P-TD-AA0-024 represents PROJET RENFORCEMENT DE LA RÉSILIENCE POUR LA SÉCURITÉ ALIMENTAIRE P2RS - GEF happening in Chad which has status as Approved ->,P-TD-AA0-024,Approved,Projet renforcement de la résilience pour la sécurité alimentaire p2rs - gef happening in chad,14-Dec-2018.,Details regarding project P-TD-AA0-024
P-BF-FA0-010 represents PROGRAMME DESERT TO POWER - PROJET YELEEN D'ELECTRIFICATION RURALE happening in Burkina Faso which has status as Approved ->,P-BF-FA0-010,Approved,Programme desert to power - projet yeleen d'electrification rurale happening in burkina faso,14-Dec-2018.,Details regarding project P-BF-FA0-010
P-GA-DD0-002 represents GSEZ PORT PROJECT happening in Gabon which has status as Approved ->,P-GA-DD0-002,Approved,Gsez port project happening in gabon,14-Dec-2018.,Details regarding project P-GA-DD0-002
P-NG-AZ0-001 represents SAY NO TO FAMINE FOR NIGERIA happening in Nigeria which has status as Approved ->,P-NG-AZ0-001,Approved,Say no to famine for nigeria happening in nigeria,14-Dec-2018.,Details regarding project P-NG-AZ0-001
P-NG-IA0-006 represents ADDITIONAL LOAN TO IBSDLIEP FOR THE COMPLETION OF FSTC LASSA BORNO STATE happening in Nigeria which has status as Approved ->,P-NG-IA0-006,Approved,Additional loan to ibsdliep for the completion of fstc lassa borno state happening in nigeria,14-Dec-2018.,Details regarding project P-NG-IA0-006
P-NG-KA0-004 represents NIGERIA - AFRICAN TRADE INSURANCE (ATI) COUNTRY MEMBERSHIP PROGRAMME happening in Nigeria which has status as Approved ->,P-NG-KA0-004,Approved,Nigeria - african trade insurance (ati) country membership programme happening in nigeria,14-Dec-2018.,Details regarding project P-NG-KA0-004
P-RW-E00-012 represents RWANDA SUSTAINABLE WATER SUPPLY AND SANITATION PROGRAM ADDITIONAL FINANCING happening in Rwanda which has status as Approved ->,P-RW-E00-012,Approved,Rwanda sustainable water supply and sanitation program additional financing happening in rwanda,14-Dec-2018.,Details regarding project P-RW-E00-012
P-Z1-DD0-020 represents FEASIBILITY STUDY OF THE DEEP SEA PORT IN GUINEA-BISSAU happening in Multinational which has status as Approved ->,P-Z1-DD0-020,Approved,Feasibility study of the deep sea port in guinea-bissau happening in multinational,14-Dec-2018.,Details regarding project P-Z1-DD0-020
P-Z1-DD0-021 represents FEASIBILITY STUDY OF A DEEP SEA PORT IN THE NORTH-WEST REGION OF THE REPUBLIC OF GUINEA happening in Multinational which has status as Approved ->,P-Z1-DD0-021,Approved,Feasibility study of a deep sea port in the north-west region of the republic of guinea happening in multinational,14-Dec-2018.,Details regarding project P-Z1-DD0-021
P-Z1-DD0-022 represents STUDIES AND PPP STRUCTURING FOR THE CONSTRUCTION OF SÃO TOMÉ DEEP SEA TRANSSHIPMENT PORT happening in Multinational which has status as Approved ->,P-Z1-DD0-022,Approved,Studies and ppp structuring for the construction of são tomé deep sea transshipment port happening in multinational,14-Dec-2018.,Details regarding project P-Z1-DD0-022
P-Z1-F00-077 represents NELSAP BURUNDI – RWANDA INTERCONNECTION happening in Multinational which has status as Approved ->,P-Z1-F00-077,Approved,Nelsap burundi – rwanda interconnection happening in multinational,14-Dec-2018.,Details regarding project P-Z1-F00-077
P-Z1-FA0-162 represents SUPPLEMENTARY FINANCING : ETHIOPIA - KENYA ELECTRICITY HIGHWAY (KENYA) happening in Multinational which has status as Approved ->,P-Z1-FA0-162,Approved,Supplementary financing : ethiopia - kenya electricity highway (kenya) happening in multinational,14-Dec-2018.,Details regarding project P-Z1-FA0-162
P-LR-HAB-001 represents TRADE FINANCE LINE OF CREDIT LIBERIAN BANK FOR DEVELOPMENT AND INVESTMENT happening in Liberia which has status as Approved ->,P-LR-HAB-001,Approved,Trade finance line of credit liberian bank for development and investment happening in liberia,14-Dec-2018.,Details regarding project P-LR-HAB-001
P-LR-HAB-002 represents TRADE FINANCE LINE OF CREDIT INTERNATIONAL BANK LIBERIA LIMITED happening in Liberia which has status as Approved ->,P-LR-HAB-002,Approved,Trade finance line of credit international bank liberia limited happening in liberia,14-Dec-2018.,Details regarding project P-LR-HAB-002
P-SD-AAZ-009 represents DAL GROUP CO LTD(FOOD AND AGRICULTURAL INVESTMENT PROGRAMME) happening in Sudan which has status as Approved ->,P-SD-AAZ-009,Approved,Dal group co ltd(food and agricultural investment programme) happening in sudan,14-Dec-2018.,Details regarding project P-SD-AAZ-009
P-BJ-DB0-017 represents PROGRAMME D'AMENAGEMENT ROUTE COTONIERES happening in Benin which has status as Approved ->,P-BJ-DB0-017,Approved,Programme d'amenagement route cotonieres happening in benin,13-Dec-2018.,Details regarding project P-BJ-DB0-017
