Question,Answer
Details regarding project P-Z1-DB0-202,The project named multinational nacala road corridor development project phase v - malawi happening in multinational with code P-Z1-DB0-202 was approved on 19-Jun-2019 with the current project status as Identification
Details regarding project P-LS-E00-007,The project named climate change adaptation for sustainable rural water supply in lowlands lesotho happening in lesotho with code P-LS-E00-007 was approved on 30-May-2019 with the current project status as Lending
Details regarding project P-GA-E00-001,The project named programme intégré d'alimentation en eau potable et assainissement de libreville sous-programme 1 happening in gabon with code P-GA-E00-001 was approved on 10-Jan-2019 with the current project status as Approved
Details regarding project P-UG-EB0-007,The project named preparation of feasibility studies and detailed designs for faecal sludge service chain management happening in uganda with code P-UG-EB0-007 was approved on 18-Dec-2018 with the current project status as Approved
Details regarding project P-DZ-KF0-003,The project named appui gouvernance entreprises publiques et des participations de l'etat happening in algeria with code P-DZ-KF0-003 was approved on 18-Dec-2018 with the current project status as Approved
Details regarding project P-CM-F00-006,The project named nachtigal hydro power project happening in cameroon with code P-CM-F00-006 was approved on 14-Dec-2018 with the current project status as Completed
Details regarding project P-UG-FAB-007,The project named achwa ii hydropower plant happening in uganda with code P-UG-FAB-007 was approved on 14-Dec-2018 with the current project status as Ongoing
Details regarding project P-Z1-KE0-023,The project named emerging africa infrastructure fund project (eaif3) happening in multinational with code P-Z1-KE0-023 was approved on 14-Dec-2018 with the current project status as Approved
Details regarding project P-Z1-C00-070,The project named tchad-abn programme integre de developpement et d'adaptation aux cc dans le bassin du niger happening in multinational with code P-Z1-C00-070 was approved on 14-Dec-2018 with the current project status as Approved
Details regarding project P-Z1-DZ0-019,"The project named oubangui river bridge& bangui-kisangani-bujumbura& kisangani-kampala roads,phasei ctral&east africa happening in multinational with code P-Z1-DZ0-019 was approved on 14-Dec-2018 with the current project status as Approved"
Details regarding project P-ML-HA0-008,The project named banque de developpement du mali bdm happening in mali with code P-ML-HA0-008 was approved on 14-Dec-2018 with the current project status as Approved
Details regarding project P-TD-AA0-024,The project named projet renforcement de la résilience pour la sécurité alimentaire p2rs - gef happening in chad with code P-TD-AA0-024 was approved on 14-Dec-2018 with the current project status as Approved
Details regarding project P-BF-FA0-010,The project named programme desert to power - projet yeleen d'electrification rurale happening in burkina faso with code P-BF-FA0-010 was approved on 14-Dec-2018 with the current project status as Approved
Details regarding project P-GA-DD0-002,The project named gsez port project happening in gabon with code P-GA-DD0-002 was approved on 14-Dec-2018 with the current project status as Approved
Details regarding project P-NG-AZ0-001,The project named say no to famine for nigeria happening in nigeria with code P-NG-AZ0-001 was approved on 14-Dec-2018 with the current project status as Approved
Details regarding project P-NG-IA0-006,The project named additional loan to ibsdliep for the completion of fstc lassa borno state happening in nigeria with code P-NG-IA0-006 was approved on 14-Dec-2018 with the current project status as Approved
Details regarding project P-NG-KA0-004,The project named nigeria - african trade insurance (ati) country membership programme happening in nigeria with code P-NG-KA0-004 was approved on 14-Dec-2018 with the current project status as Approved
Details regarding project P-RW-E00-012,The project named rwanda sustainable water supply and sanitation program additional financing happening in rwanda with code P-RW-E00-012 was approved on 14-Dec-2018 with the current project status as Approved
Details regarding project P-Z1-DD0-020,The project named feasibility study of the deep sea port in guinea-bissau happening in multinational with code P-Z1-DD0-020 was approved on 14-Dec-2018 with the current project status as Approved
Details regarding project P-Z1-DD0-021,The project named feasibility study of a deep sea port in the north-west region of the republic of guinea happening in multinational with code P-Z1-DD0-021 was approved on 14-Dec-2018 with the current project status as Approved
Details regarding project P-Z1-DD0-022,The project named studies and ppp structuring for the construction of são tomé deep sea transshipment port happening in multinational with code P-Z1-DD0-022 was approved on 14-Dec-2018 with the current project status as Approved
Details regarding project P-Z1-F00-077,The project named nelsap burundi – rwanda interconnection happening in multinational with code P-Z1-F00-077 was approved on 14-Dec-2018 with the current project status as Approved
Details regarding project P-Z1-FA0-162,The project named supplementary financing : ethiopia - kenya electricity highway (kenya) happening in multinational with code P-Z1-FA0-162 was approved on 14-Dec-2018 with the current project status as Approved
Details regarding project P-LR-HAB-001,The project named trade finance line of credit liberian bank for development and investment happening in liberia with code P-LR-HAB-001 was approved on 14-Dec-2018 with the current project status as Approved
Details regarding project P-LR-HAB-002,The project named trade finance line of credit international bank liberia limited happening in liberia with code P-LR-HAB-002 was approved on 14-Dec-2018 with the current project status as Approved
Details regarding project P-SD-AAZ-009,The project named dal group co ltd(food and agricultural investment programme) happening in sudan with code P-SD-AAZ-009 was approved on 14-Dec-2018 with the current project status as Approved
Details regarding project P-BJ-DB0-017,The project named programme d'amenagement route cotonieres happening in benin with code P-BJ-DB0-017 was approved on 13-Dec-2018 with the current project status as Approved
Details regarding project P-MA-I00-006,The project named programme d’appui à l’amélioration des résultats des secteurs sociaux au maroc happening in morocco with code P-MA-I00-006 was approved on 13-Dec-2018 with the current project status as Approved
Details regarding project P-MA-K00-016,The project named projet d’appui au renforcement des capacites de la commission nationale de la commande publique happening in morocco with code P-MA-K00-016 was approved on 12-Dec-2018 with the current project status as Approved
Details regarding project P-Z1-HAA-091,The project named don à la banque maghrébine d’investissement et de commerce extérieur (bmice) happening in multinational with code P-Z1-HAA-091 was approved on 12-Dec-2018 with the current project status as Approved
Details regarding project P-MR-AAC-011,The project named projet d'appui à la transformation agricole en mauritanie (patam) happening in mauritania with code P-MR-AAC-011 was approved on 12-Dec-2018 with the current project status as Approved
Details regarding project P-CI-KF0-003,The project named projet d’appui à la gouvernance de la filière cacao (pagfic) happening in côte d'ivoire with code P-CI-KF0-003 was approved on 11-Dec-2018 with the current project status as Approved
Details regarding project P-GH-KF0-003,The project named ghana cocoa sector institutional support project happening in ghana with code P-GH-KF0-003 was approved on 11-Dec-2018 with the current project status as Approved
Details regarding project P-ML-DB0-015,The project named programme d’amen. routier de la branche malienne de la transsaharienne happening in mali with code P-ML-DB0-015 was approved on 11-Dec-2018 with the current project status as Approved
Details regarding project P-KE-EB0-010,The project named nairobi rivers basins rehabilitation restoration: sewerage improvement project-phase ii happening in kenya with code P-KE-EB0-010 was approved on 11-Dec-2018 with the current project status as Approved
Details regarding project P-EG-I00-015,The project named enhancement of entrepreneurship ecosystem happening in egypt with code P-EG-I00-015 was approved on 07-Dec-2018 with the current project status as Approved
Details regarding project P-GM-AA0-016,The project named rice value chain transformation program (rvctp) happening in gambia with code P-GM-AA0-016 was approved on 06-Dec-2018 with the current project status as Approved
Details regarding project P-CV-DD0-005,The project named projet de construction du port de maio et de palmeira happening in cape verde with code P-CV-DD0-005 was approved on 06-Dec-2018 with the current project status as Approved
Details regarding project P-ET-AAG-005,The project named integrated agro industrial park development project happening in ethiopia with code P-ET-AAG-005 was approved on 05-Dec-2018 with the current project status as Approved
Details regarding project P-SL-E00-004,The project named freetown wash & aquatic environment revamping project happening in sierra leone with code P-SL-E00-004 was approved on 05-Dec-2018 with the current project status as Approved
Details regarding project P-MW-AA0-024,The project named shire valley transformation project happening in malawi with code P-MW-AA0-024 was approved on 04-Dec-2018 with the current project status as Approved
Details regarding project P-ZW-CB0-001,The project named emergency assistance to support efforts to control and avert the 2018 cholera outbreak happening in zimbabwe with code P-ZW-CB0-001 was approved on 04-Dec-2018 with the current project status as Approved
