Question,Answer
P-Z1-DB0-202 represents MULTINATIONAL NACALA ROAD CORRIDOR DEVELOPMENT PROJECT PHASE V - MALAWI happening in Multinational which has status as Identification ->,"Project was approved on 19-Jun-2019. 
"
P-LS-E00-007 represents CLIMATE CHANGE ADAPTATION FOR SUSTAINABLE RURAL WATER SUPPLY IN LOWLANDS LESOTHO happening in Lesotho which has status as Lending ->,"Project was approved on 30-May-2019. 
"
P-GA-E00-001 represents PROGRAMME INTÉGRÉ D'ALIMENTATION EN EAU POTABLE ET ASSAINISSEMENT DE LIBREVILLE SOUS-PROGRAMME 1 happening in Gabon which has status as Approved ->,"Project was approved on 10-Jan-2019. 
"
P-UG-EB0-007 represents PREPARATION OF FEASIBILITY STUDIES AND DETAILED DESIGNS FOR FAECAL SLUDGE SERVICE CHAIN MANAGEMENT happening in Uganda which has status as Approved ->,"Project was approved on 18-Dec-2018. 
"
P-DZ-KF0-003 represents APPUI GOUVERNANCE ENTREPRISES PUBLIQUES ET DES PARTICIPATIONS DE L'ETAT happening in Algeria which has status as Approved ->,"Project was approved on 18-Dec-2018. 
"
P-CM-F00-006 represents NACHTIGAL HYDRO POWER PROJECT happening in Cameroon which has status as Completed ->,"Project was approved on 14-Dec-2018. 
"
P-UG-FAB-007 represents ACHWA II HYDROPOWER PLANT happening in Uganda which has status as Ongoing ->,"Project was approved on 14-Dec-2018. 
"
P-Z1-KE0-023 represents EMERGING AFRICA INFRASTRUCTURE FUND PROJECT (EAIF3) happening in Multinational which has status as Approved ->,"Project was approved on 14-Dec-2018. 
"
P-Z1-C00-070 represents TCHAD-ABN PROGRAMME INTEGRE DE DEVELOPPEMENT ET D'ADAPTATION AUX CC DANS LE BASSIN DU NIGER happening in Multinational which has status as Approved ->,"Project was approved on 14-Dec-2018. 
"
"P-Z1-DZ0-019 represents OUBANGUI RIVER BRIDGE& BANGUI-KISANGANI-BUJUMBURA& KISANGANI-KAMPALA ROADS,PHASEI CTRAL&EAST AFRICA happening in Multinational which has status as Approved ->","Project was approved on 14-Dec-2018. 
"
P-ML-HA0-008 represents BANQUE DE DEVELOPPEMENT DU MALI BDM happening in Mali which has status as Approved ->,"Project was approved on 14-Dec-2018. 
"
P-TD-AA0-024 represents PROJET RENFORCEMENT DE LA RÉSILIENCE POUR LA SÉCURITÉ ALIMENTAIRE P2RS - GEF happening in Chad which has status as Approved ->,"Project was approved on 14-Dec-2018. 
"
P-BF-FA0-010 represents PROGRAMME DESERT TO POWER - PROJET YELEEN D'ELECTRIFICATION RURALE happening in Burkina Faso which has status as Approved ->,"Project was approved on 14-Dec-2018. 
"
P-GA-DD0-002 represents GSEZ PORT PROJECT happening in Gabon which has status as Approved ->,"Project was approved on 14-Dec-2018. 
"
P-NG-AZ0-001 represents SAY NO TO FAMINE FOR NIGERIA happening in Nigeria which has status as Approved ->,"Project was approved on 14-Dec-2018. 
"
P-NG-IA0-006 represents ADDITIONAL LOAN TO IBSDLIEP FOR THE COMPLETION OF FSTC LASSA BORNO STATE happening in Nigeria which has status as Approved ->,"Project was approved on 14-Dec-2018. 
"
P-NG-KA0-004 represents NIGERIA - AFRICAN TRADE INSURANCE (ATI) COUNTRY MEMBERSHIP PROGRAMME happening in Nigeria which has status as Approved ->,"Project was approved on 14-Dec-2018. 
"
P-RW-E00-012 represents RWANDA SUSTAINABLE WATER SUPPLY AND SANITATION PROGRAM ADDITIONAL FINANCING happening in Rwanda which has status as Approved ->,"Project was approved on 14-Dec-2018. 
"
P-Z1-DD0-020 represents FEASIBILITY STUDY OF THE DEEP SEA PORT IN GUINEA-BISSAU happening in Multinational which has status as Approved ->,"Project was approved on 14-Dec-2018. 
"
P-Z1-DD0-021 represents FEASIBILITY STUDY OF A DEEP SEA PORT IN THE NORTH-WEST REGION OF THE REPUBLIC OF GUINEA happening in Multinational which has status as Approved ->,"Project was approved on 14-Dec-2018. 
"
P-Z1-DD0-022 represents STUDIES AND PPP STRUCTURING FOR THE CONSTRUCTION OF SÃO TOMÉ DEEP SEA TRANSSHIPMENT PORT happening in Multinational which has status as Approved ->,"Project was approved on 14-Dec-2018. 
"
P-Z1-F00-077 represents NELSAP BURUNDI – RWANDA INTERCONNECTION happening in Multinational which has status as Approved ->,"Project was approved on 14-Dec-2018. 
"
P-Z1-FA0-162 represents SUPPLEMENTARY FINANCING : ETHIOPIA - KENYA ELECTRICITY HIGHWAY (KENYA) happening in Multinational which has status as Approved ->,"Project was approved on 14-Dec-2018. 
"
P-LR-HAB-001 represents TRADE FINANCE LINE OF CREDIT LIBERIAN BANK FOR DEVELOPMENT AND INVESTMENT happening in Liberia which has status as Approved ->,"Project was approved on 14-Dec-2018. 
"
P-LR-HAB-002 represents TRADE FINANCE LINE OF CREDIT INTERNATIONAL BANK LIBERIA LIMITED happening in Liberia which has status as Approved ->,"Project was approved on 14-Dec-2018. 
"
P-SD-AAZ-009 represents DAL GROUP CO LTD(FOOD AND AGRICULTURAL INVESTMENT PROGRAMME) happening in Sudan which has status as Approved ->,"Project was approved on 14-Dec-2018. 
"
P-BJ-DB0-017 represents PROGRAMME D'AMENAGEMENT ROUTE COTONIERES happening in Benin which has status as Approved ->,"Project was approved on 13-Dec-2018. 
"
P-MA-I00-006 represents PROGRAMME D’APPUI À L’AMÉLIORATION DES RÉSULTATS DES SECTEURS SOCIAUX AU MAROC happening in Morocco which has status as Approved ->,"Project was approved on 13-Dec-2018. 
"
P-MA-K00-016 represents PROJET D’APPUI AU RENFORCEMENT DES CAPACITES DE LA COMMISSION NATIONALE DE LA COMMANDE PUBLIQUE happening in Morocco which has status as Approved ->,"Project was approved on 12-Dec-2018. 
"
P-Z1-HAA-091 represents DON À LA BANQUE MAGHRÉBINE D’INVESTISSEMENT ET DE COMMERCE EXTÉRIEUR (BMICE) happening in Multinational which has status as Approved ->,"Project was approved on 12-Dec-2018. 
"
P-MR-AAC-011 represents PROJET D'APPUI À LA TRANSFORMATION AGRICOLE EN MAURITANIE (PATAM) happening in Mauritania which has status as Approved ->,"Project was approved on 12-Dec-2018. 
"
P-CI-KF0-003 represents PROJET D’APPUI À LA GOUVERNANCE DE LA FILIÈRE CACAO (PAGFIC) happening in Côte D'Ivoire which has status as Approved ->,"Project was approved on 11-Dec-2018. 
"
P-GH-KF0-003 represents GHANA COCOA SECTOR INSTITUTIONAL SUPPORT PROJECT happening in Ghana which has status as Approved ->,"Project was approved on 11-Dec-2018. 
"
P-ML-DB0-015 represents PROGRAMME D’AMEN. ROUTIER DE LA BRANCHE MALIENNE DE LA TRANSSAHARIENNE happening in Mali which has status as Approved ->,"Project was approved on 11-Dec-2018. 
"
P-KE-EB0-010 represents NAIROBI RIVERS BASINS REHABILITATION RESTORATION: SEWERAGE IMPROVEMENT PROJECT-PHASE II happening in Kenya which has status as Approved ->,"Project was approved on 11-Dec-2018. 
"
P-EG-I00-015 represents ENHANCEMENT OF ENTREPRENEURSHIP ECOSYSTEM happening in Egypt which has status as Approved ->,"Project was approved on 07-Dec-2018. 
"
P-GM-AA0-016 represents RICE VALUE CHAIN TRANSFORMATION PROGRAM (RVCTP) happening in Gambia which has status as Approved ->,"Project was approved on 06-Dec-2018. 
"
P-CV-DD0-005 represents PROJET DE CONSTRUCTION DU PORT DE MAIO ET DE PALMEIRA happening in Cape Verde which has status as Approved ->,"Project was approved on 06-Dec-2018. 
"
P-ET-AAG-005 represents INTEGRATED AGRO INDUSTRIAL PARK DEVELOPMENT PROJECT happening in Ethiopia which has status as Approved ->,"Project was approved on 05-Dec-2018. 
"
P-SL-E00-004 represents FREETOWN WASH & AQUATIC ENVIRONMENT REVAMPING PROJECT happening in Sierra Leone which has status as Approved ->,"Project was approved on 05-Dec-2018. 
"
P-MW-AA0-024 represents SHIRE VALLEY TRANSFORMATION PROJECT happening in Malawi which has status as Approved ->,"Project was approved on 04-Dec-2018. 
"
P-ZW-CB0-001 represents EMERGENCY ASSISTANCE TO SUPPORT EFFORTS TO CONTROL AND AVERT THE 2018 CHOLERA OUTBREAK happening in Zimbabwe which has status as Approved ->,"Project was approved on 04-Dec-2018. 
"
P-ML-I00-006 represents PROJET D’AUTONOMISATION ECONOMIQUE DES FEMMES DANS LA FILIERE KARITE (PAEFFK) happening in Mali which has status as Approved ->,"Project was approved on 03-Dec-2018. 
"
P-KE-AAD-005 represents GREEN ZONES DEVELOPMENT SUPPORT PROJECT-PHASE 2 happening in Kenya which has status as Approved ->,"Project was approved on 03-Dec-2018. 
"
P-NG-KA0-005 represents INSTITUTIONAL SUPPORT PROJECT FOR ECONOMIC MANAGEMENT AND DELIVERY PROJECT happening in Nigeria which has status as Approved ->,"Project was approved on 03-Dec-2018. 
"
P-Z1-FA0-165 represents PROJET HYDROELECTRIQUE RUZIZI IV-ETATS DES GRANDS LACS-EGL happening in Multinational which has status as Approved ->,"Project was approved on 02-Dec-2018. 
"
P-ZA-FF0-001 represents REDSTONE CONCENTRATED SOLAR POWER happening in South Africa which has status as Approved ->,"Project was approved on 29-Nov-2018. 
"
P-CM-K00-009 represents PROGRAMME D’APPUI À LA COMPÉTITIVITÉ ET LA CROISSANCE ÉCONOMIQUE PHASE II happening in Cameroon which has status as Approved ->,"Project was approved on 29-Nov-2018. 
"
P-NG-F00-020 represents NIGERIA ELECTRIFICATION PROJECT happening in Nigeria which has status as Approved ->,"Project was approved on 29-Nov-2018. 
"
P-SZ-EA0-003 represents MANZINI REGION WATER SUPPLY AND SANITATION PROJECT happening in Swaziland which has status as Approved ->,"Project was approved on 29-Nov-2018. 
"
P-Z1-DB0-225 represents EAC-REHABILITATION OF SELECTED ROAD-OSBP MANYOVU-MUGINA BORDER POST (BURUNDI-TANZANIA ROAD) PROJECT happening in Multinational which has status as Approved ->,"Project was approved on 29-Nov-2018. 
"
P-Z1-HA0-024 represents FIRSTRAND BANK LIMITED happening in Multinational which has status as Approved ->,"Project was approved on 29-Nov-2018. 
"
P-Z1-D00-045 represents MADAGASCAR-OCÉAN INDIEN: PROJET D'AMÉNAGEMENT DE CORRIDORS ET DE FACILITATION DE COMMERCE happening in Multinational which has status as Approved ->,"Project was approved on 27-Nov-2018. 
"
P-CM-DB0-017 represents PROGRAMME D'APPUI AU SECTEUR DES TRANSPORTS - PHASE 3: CONSTRUCTION DE LA RING ROAD happening in Cameroon which has status as Approved ->,"Project was approved on 27-Nov-2018. 
"
P-KE-FF0-001 represents KOPERE 40 MW SOLAR PV IPP happening in Kenya which has status as Approved ->,"Project was approved on 27-Nov-2018. 
"
P-NE-KA0-013 represents PROGRAMME D'APPUI AUX RÉFORMES ET A LA RESILIENCE ECONOMIQUE PHASE 2 happening in Niger which has status as Ongoing ->,"Project was approved on 27-Nov-2018. 
"
P-GH-A00-007 represents COCOBOD happening in Ghana which has status as Approved ->,"Project was approved on 27-Nov-2018. 
"
P-SN-F00-009 represents MALICOUNDA 120 MW HFO IPP happening in Senegal which has status as Approved ->,"Project was approved on 27-Nov-2018. 
"
P-Z1-DB0-204 represents MULTINATIONAL (TANZANIA) TZ/BDI:RUMONGE–GITAZA/KIBONDO-KASULU-MANYOVU ROAD PROJECT happening in Multinational which has status as Approved ->,"Project was approved on 22-Nov-2018. 
"
P-Z1-DB0-224 represents MULTINATIONAL (BURUNDI) BDI/TZ: RUMONGE–GITAZA/KIBONDO-KASULU-MANYOVU ROAD PROJECT happening in Multinational which has status as Approved ->,"Project was approved on 22-Nov-2018. 
"
